Title,Tags,Ingredients,Contributor,Reference,Created On,Number of Portions
Aloo Gobi (Potato Cauliflower),"Indian, Instant Pot, Over Rice, Side Dish","Canned Tomato, Cauliflower, Cayenne, Cumin Powder, Cumin Seeds, Garam Masala, Ground Cilantro, Ground Turmeric",Gwyneth Pang,Indian Instant Pot Cookbook by Urvashi Pitre,"February 4, 2022 10:02 PM",
Baba Ghanoush,"Instant Pot, Spread","Canola Oil, Eggplant, Parsley, Tahini Paste",Xavier Drdak,https://twosleevers.com/pressure-cooker-baba-ghanoush-greek-eggplant-dip/,"September 3, 2022 6:26 PM",
Baked Tofu Nuggets,Side Dish,"Firm Tofu, Garlic Powder, Miso Paste, Olive Oil",Gwyneth Pang,https://itdoesnttastelikechicken.com/baked-tofu-bites/,"December 8, 2020 8:27 PM",
Banana Pancakes,"Breakfast, Dairy","Banana, Flour, Milk",Gwyneth Pang,https://www.theconsciousplantkitchen.com/baby-banana-pancakes/,"May 11, 2022 10:50 AM",2
"Banh Mi ",Main,"Carrot, Cha Lua, Coriander, Daikon, Flour, Hoisin Sauce, Mayo, White Vinegar, Yeast",Gwyneth Pang,"https://www.allrecipes.com/recipe/246125/sandwich-rolls/
https://hot-thai-kitchen.com/banh-mi-sandwich-lemongrass-pork/","April 9, 2023 8:30 PM",6
Black Bean Chili (Pork),"Instant Pot, Main, Over Rice, Pork","Bell Pepper, Black Bean, Canned Tomato, Canola Oil, Cayenne Powder, Chili Powder, Coriander Powder, Cumin Powder, Garlic, Ground Pork, Jalapeno, Onion",Gwyneth Pang,https://www.tasteofhome.com/recipes/chicken-chili-with-black-beans/,"October 26, 2021 7:48 PM",6
Braised Beef,"Beef, Cantonese, Over Rice","Beef Brisket, Bok Choy, Chicken Bouillon Powder, Chinese Cooking Wine, Cinnamon, Daikon, Fennel Seeds, Light Soy Sauce, Sichuan Peppercorn, Star Anise",Gwyneth Pang,From Mom,"March 12, 2023 2:58 PM",4
Braised Pomelo Skin,"Chinese, Over Rice, Side Dish","Broth/Stock, Chinese Cooking Wine, Corn Starch, Light Soy Sauce, Pomelo Skin, Pork Fat, White Pepper",Gwyneth Pang,https://youtu.be/HQomVDn4XA4,"January 5, 2021 9:20 PM",
"Braised Pork Ham Hock ","Chinese, Over Rice, Pork, Side Dish","Bay Leaf, Black Peppercorn, Brown Sugar, Cinnamon, Cloves, Corn Starch, Dark Soy Sauce, Fennel Seeds, Garlic, Ginger, Light Soy Sauce, Onion, Sichuan Peppercorn Powder, Star Anise, White Vinegar",Gwyneth Pang,https://thewoksoflife.com/chinese-braised-ti-pang-pork/,"December 8, 2020 9:01 PM",
Bubble tea (classic flavor),,,,,"May 22, 2023 10:16 AM",
Cantonese Banana Cake,"Cantonese, Dessert","Banana, Glutinous Rice Flour, Rice Flour, Sugar",Gwyneth Pang,https://www.youtube.com/watch?v=raKuSxJwvH0&,"September 22, 2020 4:04 PM",
Chana Masala,,,Gwyneth Pang,Indian Instant Pot Cookbook by Urvashi Pitre,"May 11, 2022 11:39 AM",
Chawanmushi,"Egg, Japanese, Side Dish","Broth/Stock, Eggs, Light Soy Sauce, Mirin, Shiitake",Gwyneth Pang,,"September 22, 2020 3:16 PM",
Cherry Tomatoes TikTok Pasta Sauce,Main,"Cherry Tomato, Garlic, Olive Oil, Thyme",Gwyneth Pang,TikTok B.S.,"March 19, 2021 8:52 PM",
Chia pudding,,,,,"March 23, 2024 10:56 PM",
Chicken Biryani,"Chicken, Indian, Instant Pot, Main","Basmati Rice, Black Peppercorn, Chicken, Cinnamon, Cloves, Coriander, Cumin Seeds, Garlic, Ginger, Green Cardamom Pod, Jalapeno, Onion, Pork Fat",Gwyneth Pang,Indian Instant Pot Cookbook by Urvashi Pitre,"August 30, 2022 8:39 PM",
Chicken Meatballs,"Chicken, Side Dish","Chicken, Corn Starch, Eggs, Garlic, Green Onion, Panko, Sesame Oil, White Pepper",Gwyneth Pang,https://www.seriouseats.com/recipes/2014/10/tsukune-japanese-chicken-meatballs-recipe.html,"December 17, 2020 7:59 PM",
Chicken Stock,"Chicken, Instant Pot",Chicken Bones,Gwyneth Pang,Trial and error,"October 28, 2022 11:07 AM",6
Chicken Vindaloo,"Chicken, Indian, Instant Pot, Over Rice","Canned Tomato, Cayenne, Chicken, Garam Masala, Garlic, Ginger, Ground Turmeric, Onion, Smoked Paprika, White Vinegar",Gwyneth Pang,Indian Instant Pot Cookbook by Urvashi Pitre,"May 11, 2022 11:47 AM",
Chili Oil,"Chinese, Dressing, Nuts, Spicy","Canola Oil, Chili Flakes, Garlic, Ginger, Onion, Paprika, Peanuts, Sesame Oil, Shallot, Sichuan Peppercorn, Star Anise, Sugar, White Pepper",Gwyneth Pang,https://www.madewithlau.com/recipes/homemade-chili-oil,"July 23, 2022 7:44 PM",
"Chipotle Mayonnaise ",,"Chipotle, Mayo",,,"July 16, 2023 9:39 PM",
Chives Pancake,"Korean, Side Dish","Chinese Chives, Corn Starch, Flour",Gwyneth Pang,https://thefoodietakesflight.com/korean-chive-pancakes/#recipe,"July 23, 2022 7:46 PM",
Chocolate Chip Cookies (Thin),Dessert,"Baking Soda, Brown Sugar, Butter, Chocolate Chips, Eggs, Flour, Milk, Sugar, Vanilla Extract",Gwyneth Pang,https://foodwishes.blogspot.com/2015/07/the-best-chocolate-chip-cookies-ever.html,"December 8, 2020 8:08 PM",
Cocktail - Aurore d’hivers,,,,,"June 5, 2024 6:38 PM",
Cocktail - Bee’s Knees,,,,,"June 5, 2024 6:37 PM",
Cocktail - Caipirinha,,"Lime, Raw Sugar",,,"June 5, 2024 6:38 PM",
Cocktail - Green Tea,,,,,"June 5, 2024 6:41 PM",
Cocktail - Japanese Slipper,,,,,"June 5, 2024 6:44 PM",
Cocktail - Toronto,,"Angostura Bitters, Fernet, Maple Syrup, Rye Whiskey",,,"June 5, 2024 6:44 PM",
Cocktail - vista del rey,,,,,"June 5, 2024 6:42 PM",
Cocktail - vodka cranberry soda,,,,,"June 5, 2024 6:41 PM",
Cocktail : Aurore d’hiver,Drinks,,Gwyneth Pang,,"December 3, 2023 3:29 PM",
Coconut Butter Chicken,"Chicken, Indian, Instant Pot, Over Rice","Butter, Canned Tomato, Cayenne, Chicken, Coconut Cream, Coriander, Cumin Powder, Garam Masala, Garlic, Ginger, Ground Turmeric, Paprika",Gwyneth Pang,Indian Instant Pot Cookbook by Urvashi Pitre,"May 11, 2022 11:46 AM",
Coconut Peanut Chicken Curry,"Chicken, Main, Nuts, Over Rice","Cabbage, Carrot, Chicken, Coconut Milk, Onion, Peanuts, Potato",Gwyneth Pang,,"December 17, 2020 8:49 PM",
Cold Dipped Soba Noodles (Zaru Soba),"Japanese, Main","Broth/Stock, Dashi, Green Onion, Light Soy Sauce, Mirin, Sake, Soba Noodles",Gwyneth Pang,https://www.justonecookbook.com/zaru-soba-cold-soba-noodles/#wprm-recipe-container-56625,"December 8, 2020 7:57 PM",6
Coleslaw vinaigrette with leftover pickle juice,,,,,"May 27, 2024 10:10 PM",
Colombian Chicken Stew (Pressure Cooker),"Chicken, Instant Pot, Main","Bay Leaf, Chicken, Onion, Potato, Tomato",Xavier Drdak,,"April 4, 2021 10:01 PM",
"Congee, Juk, Rice Porridge","Chinese, Main","MSG, Rice",Gwyneth Pang,https://madewithlau.com/recipes/chicken-congee,"November 18, 2021 6:37 PM",
Creamy Coleslaw,Side Dish,"Cabbage, Carrot, Dijon Mustard, Mayo, Onion, Parsley, Sugar, White Vinegar",Gwyneth Pang,https://www.seriouseats.com/recipes/2013/07/creamy-cole-slaw.html,"December 8, 2020 7:45 PM",
Crepes,"Breakfast, Dairy, Dessert","Eggs, Flour, Milk",Gwyneth Pang,https://foodwishes.blogspot.com/2008/06/how-to-make-crepes-even-messed-up-ones.html,"September 22, 2020 3:48 PM",
Crispy Pork Skin,"Pork, Side Dish",Pork Fat,Gwyneth Pang,,"December 17, 2020 8:43 PM",
Curry Cashew Chicken,"Chicken, Nuts, Over Rice","Butter, Garlic, Ginger, Onion",Xavier Drdak,,"September 22, 2020 11:04 PM",
Dan Dan Noodles,"Chinese, Main, Nuts, Pork, Spicy","Chili Oil, Chinese Noodles, Dark Chinese Vinegar, Garlic, Green Onion, Ground Pork, Light Soy Sauce, Peanuts, Sichuan Peppercorn Powder, Sugar, Zha Cai",Gwyneth Pang,https://www.seriouseats.com/dan-dan-noodles-recipe,"July 18, 2022 3:16 PM",
Danmuji Pickled Radish (단무지),"Korean, Side Dish","Bay Leaf, Black Peppercorn, Daikon, Garlic, Ground Turmeric, Rice Wine Vinegar, Sugar",Gwyneth Pang,https://www.seriouseats.com/recipes/2017/03/danmuji-korean-pickled-daikon-radish-recipe.html,"December 8, 2020 7:25 PM",
Dry Peanut Noodles,"Chinese, Main, Nuts","Almond Butter, Almonds, Bun Bo Hue Noodles, Chili Oil, Coriander, Dark Chinese Vinegar, Green Onion, Light Soy Sauce",Gwyneth Pang,https://www.seriouseats.com/vermicelli-with-chili-oil-recipe,"July 18, 2022 3:18 PM",
Dumplings (Pork),"Chinese, Main, Pork","Coriander, Dumpling Wrappers, Garlic, Ginger, Green Onion, Ground Pork, Hoisin Sauce, Light Soy Sauce, Oyster Sauce, Sesame Oil, White Pepper",Gwyneth Pang,,"February 16, 2021 8:49 AM",
Flatbread,Side Dish,"Corn Meal, Flour",Gwyneth Pang,https://foodwishes.blogspot.com/2014/11/homemade-flatbread-if-your-have-flour.html,"September 25, 2020 12:53 PM",
French Onion Soup,,,,https://www.recipetineats.com/french-onion-soup/#wprm-recipe-container-23428,"April 14, 2024 9:52 PM",
Fried Soft Tofu (Agedashi Tofu),"Japanese, Over Rice, Side Dish","Corn Starch, Daikon, Dashi, Green Onion, Light Soy Sauce, Mirin, Soft Tofu",Gwyneth Pang,https://www.justonecookbook.com/agedashi-tofu-2/,"December 8, 2020 9:17 PM",
Fried sticky rice (Lo mai fan),"Cantonese, Main, Pork","Coriander, Dark Soy Sauce, Dried Shrimp, Garlic, Green Onion, Lap Cheong, Light Soy Sauce, Rice, Shiitake, Sticky Rice",Gwyneth Pang,https://www.madewithlau.com/recipes/cantonese-sticky-rice,"August 30, 2022 8:40 PM",4
Ginger Scallion Sauce,"Cantonese, Dressing","Canola Oil, Ginger, Green Onion, Sesame Oil",Gwyneth Pang,https://madewithlau.com/recipes/white-cut-chicken,"February 21, 2021 1:48 PM",
Grated Carrot Pancakes,"Over Rice, Side Dish","Carrot, Corn Starch, Flour, Shiitake, Wood Ear Mushroom",Gwyneth Pang,,"October 24, 2021 6:33 PM",
Green Tea Matcha Ice Cream,"Dairy, Dessert","Cooking Cream, Matcha Powder, Milk, Sugar",Gwyneth Pang,https://www.justonecookbook.com/green-tea-ice-cream-matcha-ice-cream/,"March 29, 2021 9:13 PM",
Guacamole,Side Dish,"Avocado, Coriander, Garlic Powder, Lemon Juice, Onion, Tomato",Gwyneth Pang,,"December 17, 2020 9:13 PM",
Hainanese Chicken Rice,,,,https://hot-thai-kitchen.com/easy-hainanese-chicken-rice/,"April 24, 2023 8:13 PM",
Honey and Sherry Vinegar Dressing,Dressing,"Balsamic Vinegar, Canola Oil, Honey, Olive Oil, Shallot, Sherry Vinegar",Xavier Drdak,,"September 25, 2020 3:46 PM",
Honey Garlic Chicken,"Chicken, Over Rice, Side Dish","Broth/Stock, Garlic, Honey, Light Soy Sauce, Rice Wine Vinegar",Gwyneth Pang,,"September 22, 2020 2:39 PM",
Hot and Sour Soup (酸辣湯),Soup,"Carrot, Dark Soy Sauce, Eggs, Enoki Mushroom, Light Soy Sauce, Shiitake, Sugar, Tomato, White Pepper, White Vinegar",Gwyneth Pang,https://madewithlau.com/recipes/hot-sour-soup,"February 18, 2021 7:56 PM",
Hummus,Dressing,"Baking Soda, Bay Leaf, Carrot, Celery, Cumin Powder, Dried Chickpeas, Garlic, Lemon Juice, Onion, Tahini Paste",Gwyneth Pang,https://www.seriouseats.com/israeli-style-extra-smooth-hummus-recipe,"December 22, 2021 3:52 PM",
Japanese Croquettes (Baked),"Beef, Japanese, Side Dish","Butter, Eggs, Flour, Ground Beef, Onion, Panko, Potato",Gwyneth Pang,https://www.justonecookbook.com/baked-croquette/,"September 22, 2020 11:11 PM",
Japanese Slipper,,"Cointreau, Lemon Juice, Melon Liqueur",,,"June 5, 2024 6:41 PM",
Japchae,"Korean, Main","Carrot, Garlic, Honey, Light Soy Sauce, Onion, Sesame Oil, Sesame Seeds, Shiitake, Spinach, Sweet Potato Noodles",Gwyneth Pang,https://futuredish.com/moms-japchae-recipe-fast-simple-delicious/,"March 18, 2021 9:38 PM",
Kimchi Pancake (김치전),"Korean, Side Dish, Spicy","Flour, Green Onion, Kimchi, Sugar",Gwyneth Pang,https://www.maangchi.com/recipe/kimchijeon,"September 25, 2020 11:16 AM",
Korean Bean Sprout Side Dish (콩나물무침),"Korean, Nuts, Side Dish","Bean Sprout, Fish Sauce, Garlic, Green Onion, Sesame Oil, Sesame Seeds",Gwyneth Pang,https://www.maangchi.com/recipe/kongnamul-muchim,"September 25, 2020 10:45 AM",
Korean Cucumber Salad,"Korean, Nuts, Side Dish","Chili Flakes, Cucumber, Garlic, Light Soy Sauce, Sesame Oil, Sesame Seeds, White Vinegar",Gwyneth Pang,http://aeriskitchen.com/2017/12/cucumber-muchim/,"September 22, 2020 3:09 PM",
Korean Potato Side (감자 조림),"Korean, Nuts, Side Dish","Corn Syrup, Garlic, Light Soy Sauce, Potato, Sesame Seeds",Gwyneth Pang,http://aeriskitchen.com/2009/12/potato-side-dish-%EA%B0%90%EC%9E%90-%EC%A1%B0%EB%A6%BCgamja-jorim/,"September 22, 2020 8:34 PM",
Korean Spinach Side (시금치나물),"Korean, Nuts, Side Dish","Garlic, Green Onion, Light Soy Sauce, Sesame Oil, Sesame Seeds, Spinach",Gwyneth Pang,https://www.maangchi.com/recipe/sigumchi-namul,"September 24, 2020 8:25 PM",
Laarb Moo Issan,"Spicy, Thai","Coriander, Green Onion, Ground Pork, Shallot",Xavier Drdak,,"February 2, 2022 12:34 PM",
Leek and Potato Soup,Soup,"Broth/Stock, Butter, Garlic, Onion, Potato",Xavier Drdak,,"September 22, 2020 11:04 PM",
Lemon Syrup,Drinks,"Lemon, Sugar",Gwyneth Pang,https://www.youtube.com/watch?v=DvHKhgvtvI8,"September 22, 2020 10:45 PM",
Lentil Flatbread,Side Dish,Red Lentils,Gwyneth Pang,https://www.allrecipes.com/recipe/8542186/lentil-flatbread/,"February 21, 2023 4:42 PM",
Liang Fen (凉粉),"Chinese, Main, Side Dish","Baking Soda, Balsamic Vinegar, Garlic, Green Onion, Mung Bean Starch, Sesame Oil, Sugar, White Vinegar",Gwyneth Pang,https://www.youtube.com/watch?v=BStgIeNQrRk&feature=youtu.be,"September 23, 2020 8:45 PM",
Mac and Cheese,"Dairy, Main","Bacon, Butter, Cheese, Flour, Macaroni, Milk",Gwyneth Pang,https://youtu.be/dLVhEQiLjw0,"December 8, 2020 9:26 PM",
Macaroni Salad,,,,https://www.ethanchlebowski.com/cooking-techniques-recipes/64x2p40qpmc7vo9vl6q7wagy8wzjn3,"February 2, 2023 1:04 PM",
Manakish,Main,"Flour, Olive Oil, Sugar, Yeast, Yogurt, Zaatar",Gwyneth Pang,https://www.seriouseats.com/grilled-flatbread-zaatar-recipe,"November 6, 2022 5:43 PM",
Mango Sorbet,Dessert,"Lime Juice, Mango, Sugar",Gwyneth Pang,https://www.seriouseats.com/mango-sorbet-recipe,"May 1, 2021 2:30 PM",
Mantou (饅頭),"Chinese, Side Dish","Baking Powder, Flour, Sugar, Yeast",Gwyneth Pang,https://youtu.be/R3P0OFHqv-c,"December 29, 2020 2:04 PM",
Mapo tofu,"Chinese, Main, Over Rice, Pork, Spicy","Chicken Bouillon Powder, Corn Starch, Doubanjang, Garlic, Ginger, Green Onion, Ground Pork, Light Soy Sauce, Preserved Black Beans, Soft Tofu, Sugar, White Pepper",Gwyneth Pang,https://www.youtube.com/watch?v=KpnLLhBVIjk,"October 6, 2022 10:44 PM",
Mushroom Barley with Spinach,"Instant Pot, Main","Barley, Broth/Stock, Button Mushroom, Garlic, Onion, Thyme",Gwyneth Pang,Cook Instant by Publications International Ltd,"February 4, 2022 9:37 PM",
No Knead Bread,Side Dish,"Flour, Yeast",Gwyneth Pang,https://www.seriouseats.com/recipes/2011/06/better-no-knead-bread-recipe.html,"October 14, 2020 7:33 PM",
Nuoc Cham Vietnamese Sauce,Vietnamese,"Fish Sauce, Garlic, Lime Juice, Soda Water, Sugar, Thai Chili",Gwyneth Pang,https://helenrecipes.com/recipe-2-vietnamese-dipping-sauce-cach-pha-nuoc-cham/,"June 16, 2022 7:23 PM",
Oden (Faux-den),,,,https://www.justonecookbook.com/oden/,"June 30, 2023 5:28 PM",
Okonomiyaki,"Egg, Japanese, Main, Pork","Baking Powder, Bonito Flakes, Cabbage, Corn Starch, Eggs, Flour, Green Onion, Hondashi, Kewpie Mayo, Okonomiyaki Sauce, Pickled Ginger",Gwyneth Pang,https://aaronandclaire.com/easy-perfect-okonomiyaki-recipe/#wpzoom-recipe-card,"December 2, 2022 8:35 PM",
Old Fashioned Fudge,Dessert,"Butter, Cocoa Powder, Milk, Sugar, Vanilla Extract",Gwyneth Pang,https://www.allrecipes.com/recipe/9420/old-fashioned-chocolate-fudge/,"December 25, 2020 10:57 PM",
Pan Fried Tofu,"Chinese, Over Rice, Side Dish","Chinese Cooking Wine, Corn Starch, Firm Tofu, Garlic, Green Onion, Light Soy Sauce, MSG, Oyster Sauce, Shallot, Sugar, Thai Chili",Gwyneth Pang,https://youtu.be/czf4uNUrwQg,"June 12, 2022 2:26 PM",
Pancakes,"Breakfast, Dairy, Dessert","Baking Powder, Butter, Eggs, Flour, Milk",Gwyneth Pang,https://foodwishes.blogspot.com/2011/08/grandma-kellys-good-old-fashioned.html,"September 22, 2020 3:53 PM",
Peruvian Turkey,"Main, Turkey","Broth/Stock, Cumin Seeds, Garlic, Ground Cilantro, Jalapeno, Light Soy Sauce, Lime, Smoked Paprika, Turkey, White Vinegar",Xavier Drdak,https://www.allrecipes.com/recipe/235472/roast-peruvian-turkey/,"September 25, 2020 9:21 AM",
Pickled Mustard Green Stir Fry,"Chinese, Egg, Over Rice, Pork, Side Dish","Eggs, Lap Cheong, Preserved Mustard Greens",Gwyneth Pang,,"October 9, 2022 10:28 PM",
Pickled Radish,"Korean, Side Dish","Daikon, Sesame Oil, Sesame Seeds, White Vinegar",Gwyneth Pang,https://www.maangchi.com/recipe/chicken-mu,"September 22, 2020 2:38 PM",
Pizza Dough,Main,"Flour, Olive Oil, Yeast",Gwyneth Pang,https://www.seriouseats.com/recipes/2013/01/foolproof-pan-pizza-recipe.html,"October 10, 2020 3:21 PM",
Pork Mojo,"Main, Pork","Cumin Seeds, Garlic, Lime, Olive Oil, Orange Juice, Pork Shoulder",Xavier Drdak,https://www.seriouseats.com/recipes/2016/06/cuban-roast-pork-shoulder-mojo-recipe.html,"May 1, 2021 10:33 AM",
Pressure Cooker Pork/Chicken Chili Verde,"Chicken, Over Rice, Pork, Spicy","Anaheim Pepper, Cumin Seeds, Fish Sauce, Garlic, Ground Cilantro, Jalapeno, Onion, Pork Shoulder, Roblano Pepper, Tomatillo",Xavier Drdak,,"September 22, 2020 10:54 PM",
Rainbow Chicken Stir Fry (彩虹雞炒),"Cantonese, Chicken, Over Rice","Baby Corn, Bell Pepper, Carrot, Celery, Chicken, Chinese Cooking Wine, Corn Starch, Light Soy Sauce, MSG, Onion, Oyster Sauce",Gwyneth Pang,https://madewithlau.com/recipes/rainbow-chicken-stir-fry,"March 18, 2021 9:19 PM",
Roasted Sweet Potatoes,Side Dish,Sweet Potato,Gwyneth Pang,,"June 12, 2022 1:12 PM",
Rose Tteokbokki,"Dairy, Korean, Main","Broth/Stock, Garlic, Gochujang, Milk, Onion, Tteokbokki",Gwyneth Pang,https://futuredish.com/rose-tteokbokki-extra-creamy-with-gochujang-milk/,"January 31, 2022 7:59 PM",
Russian Soup,"Cantonese, Soup","Bay Leaf, Broth/Stock, Brown Sugar, Cabbage, Carrot, Celery, Onion, Potato, Tomato",Gwyneth Pang,https://www.justonecookbook.com/borscht-soup-hong-kong-style/#wprm-recipe-container-59847,"February 2, 2022 8:44 PM",
Sailor Style Mussels (Moules Marinières),"Main, Seafood","Bay Leaf, Butter, Garlic, Leek, Lemon Juice, Mayo, Mussels, Parsley, Shallot, White Wine",Gwyneth Pang,https://www.seriouseats.com/recipes/2014/11/the-best-moules-mariniere-sailor-style-mussels-recipe.html,"December 8, 2020 8:14 PM",
Scallion Pancake,"Chinese, Side Dish","Flour, Green Onion",Gwyneth Pang,https://www.youtube.com/watch?v=0Qk76A7D-r8,"September 23, 2020 9:13 PM",
Seaweed Soup,"Cantonese, Egg, Soup","Broth/Stock, Coriander, Dried Seaweed, Dried Shrimp, Eggs, Fish Sauce, Green Onion, Napa Cabbage, Sesame Oil, White Pepper",Gwyneth Pang,https://www.madewithlau.com/recipes/seaweed-soup,"August 18, 2022 7:33 PM",
Skordalia,Dressing,"Garlic, Lemon Juice, Olive Oil, Potato, White Vinegar",Gwyneth Pang,https://www.allrecipes.com/recipe/281330/skordalia-greek-garlic-potato-dip/,"January 5, 2021 9:20 PM",
Soy Sauce Chow Mein Noodles,"Chinese, Main","Bean Sprout, Chinese Chives, Chow Mein Noodles, Dark Soy Sauce, Green Onion, Light Soy Sauce, MSG, Oyster Sauce, Sugar, White Pepper",Gwyneth Pang,https://www.youtube.com/watch?v=o3dcWhp1x94,"September 25, 2020 11:44 AM",
Spicy Chicken Bulgogi,"Chicken, Korean, Over Rice, Side Dish, Spicy","Chicken, Chinese Cooking Wine, Corn Starch, Garlic, Ginger, Gochujang, Green Onion, Light Soy Sauce, Onion, Sesame Oil, Sesame Seeds, Sugar",Gwyneth Pang,https://crazykoreancooking.com/spicy-chicken-bulgogi,"October 26, 2021 6:43 PM",
Spring Rolls,"Cantonese, Pork, Side Dish","Carrot, Chicken Bouillon Powder, Flour, Hoisin Sauce, Light Soy Sauce, Oyster Sauce, Shiitake, Spring Roll Wrappers, Vermicelli, White Pepper, Wood Ear Mushroom",Gwyneth Pang,https://www.madewithlau.com/recipes/egg-rolls,"October 9, 2022 10:28 PM",
Steamed Egg,"Cantonese, Egg, Over Rice, Side Dish","Eggs, Green Onion, MSG, White Pepper",Gwyneth Pang,https://madewithlau.com/recipes/steamed-egg?fbclid=IwAR3qUUTYdAB41Po2a0nvx5vDZdZMnkXstlpMLgycZApoAzCM8PLH-p8FI_Y,"November 5, 2021 12:58 PM",
Steamed Eggplant Side,"Chinese, Side Dish","Almonds, Coriander, Dark Soy Sauce, Eggplant, Fish Sauce, Garlic, Green Onion, White Vinegar",Gwyneth Pang,https://www.youtube.com/watch?v=aqGJMloZWRc,"September 25, 2020 10:51 AM",
Steamed Fish (Miso Flavored),"Cantonese, Over Rice, Side Dish","Chicken Bouillon Powder, Coriander, Corn Starch, Fish Fillet, Ginger, Green Onion, Light Soy Sauce, Miso Paste, Olive Oil, Sugar, White Pepper",Gwyneth Pang,https://www.madewithlau.com/recipes/steamed-fish,"September 4, 2022 5:33 PM",
Steamed Mushroom and Pork Patty,"Chinese, Pork, Side Dish","Corn Starch, Ginger, Ground Pork, Light Soy Sauce, Shiitake, Sugar, White Vinegar",Gwyneth Pang,https://www.youtube.com/watch?v=dQIiUrUzshk,"September 25, 2020 11:03 AM",
Sticky Rice (Thai Brand),Thai,Sticky Rice,Gwyneth Pang,,"December 23, 2021 7:22 PM",
Stir Fry Chicken and Cabbage (Ssam Jang),"Chicken, Korean, Main, Over Rice","Cabbage, Chicken, Deonjang, Garlic, Gochujang, Green Onion, Sesame Oil, Sesame Seeds, Sugar, White Vinegar",Gwyneth Pang,https://www.seriouseats.com/recipes/2019/08/ssamjang-korean-barbecue-dipping-sauce.html,"December 17, 2020 8:22 PM",
Stir Fry Green Beans,"Chinese, Side Dish","Butter, Chinese Cooking Wine, Garlic, Green Beans, Light Soy Sauce, Onion, Paprika, Sugar",Gwyneth Pang,,"September 25, 2020 3:34 PM",
Sushi Rice,,,,https://www.seriouseats.com/sumeshi-seasoned-sushi-rice-recipe-7253896,"March 24, 2023 11:51 PM",
Sushi Soy Sauce,,,,,"March 24, 2023 11:59 PM",
Sweet Ginger and Soy Sauce Pork Belly,"Over Rice, Pork","Garlic, Ginger, Honey, Light Soy Sauce, Pork Belly",Gwyneth Pang,https://juliasalbum.com/pork-belly-with-honey-garlic-sauce/,"September 25, 2020 11:22 AM",
Sweet Potato Soup,"Instant Pot, Soup","Broth/Stock, Celery, Garlic, Onion, Sweet Potato",Gwyneth Pang,Ann-Marie's Mom,"September 22, 2020 4:03 PM",
Takoyaki,,,,https://youtu.be/-d8nTfzxES8,"March 26, 2023 1:52 PM",
Tapioca Pearls (Dry White Thai type),Dessert,Tapioca Balls,Gwyneth Pang,https://thewoksoflife.com/how-to-cook-tapioca-pearls/,"December 17, 2020 9:01 PM",
Taro Cake,"Chinese, Pork, Side Dish","Dried Shrimp, Five Spice Powder, Lap Cheong, MSG, Rice Flour, Shiitake, Sugar, Taro, White Pepper",Gwyneth Pang,https://www.youtube.com/watch?v=Ps_bWYDsIts,"February 18, 2021 7:55 PM",
Tempura Bits (Tenkatsu),,,,https://www.youtube.com/watch?v=-d8nTfzxES8&t=32s,"March 26, 2023 1:49 PM",
Thai Green Curry,"Over Rice, Thai",,Gwyneth Pang,https://youtu.be/LIbKVpBQKJI,"March 12, 2023 12:09 PM",
Tonkotsu,"Japanese, Main, Pork, Soup","Cabbage, Chinese Cooking Wine, Dark Soy Sauce, Garlic, Light Soy Sauce, MSG, Mirin, Onion, Pork Bone",Gwyneth Pang,https://youtu.be/2fBs5MNlK2s,"November 18, 2021 7:07 PM",
Turnip Cake (蘿蔔糕),"Chinese, Pork, Side Dish","Daikon, Dried Shrimp, Lap Cheong, Light Soy Sauce, Rice Flour, Sugar, White Pepper",Gwyneth Pang,https://www.youtube.com/watch?v=CaAJSk_xXSI,"February 21, 2021 1:48 PM",
Vietnamese Beef Balls,,,,https://youtu.be/qGhMqpuIDsM?si=vzI8r-bKiRm9qSbp,"August 29, 2024 8:47 PM",
Waffles,"Breakfast, Dairy","Baking Powder, Eggs, Flour, Milk",Gwyneth Pang,https://www.seriouseats.com/recipes/2009/02/sunday-brunch-the-greatest-waffle-recipe-ever.html,"September 25, 2020 11:22 AM",
Whipped cream,,,,,"February 18, 2024 8:22 AM",
Wood Ear Appetizer (涼拌木耳),"Chinese, Side Dish","Coriander, Dark Chinese Vinegar, Garlic, Light Soy Sauce, Oyster Sauce, Sesame Oil, Wood Ear Mushroom",Gwyneth Pang,https://youtu.be/5pGSBWuJVWo,"February 21, 2021 1:48 PM",
Year Cake (年糕),"Chinese, Dessert, Side Dish","Brown Sugar, Canola Oil, Eggs, Glutinous Rice Flour",Gwyneth Pang,https://www.angelwongskitchen.com/chinese-new-year-cake-sweet-sticky-rice--2418031957-niaacuteng257o.html,"February 18, 2021 8:38 PM",
Yu Xiang Eggplant,"Chinese, Over Rice","Carrot, Coriander, Eggplant, Light Soy Sauce, Oyster Sauce, Sugar, White Pepper",Gwyneth Pang,,"September 25, 2020 12:53 PM",